Genotype,nitrogen,Cob_Width_2018,Cob_Weight_2018,Cob_Length_2018,Weight_of_20_Kernel_2018
B37,+N,18.2,7.3,13.3,5.5
B46,+N,22.9,19.42,16.04,5.6
B46,+N,22.9,19.42,16.04,4.9
B46,+N,22.93333333,19.42,13.66666667,5.6
B46,+N,22.93333333,19.42,13.66666667,4.9
B46,+N,22.93333333,14.7,16.04,5.6
B46,+N,22.93333333,14.7,16.04,4.9
B46,+N,22.93333333,14.7,13.66666667,5.6
B46,+N,22.93333333,14.7,13.66666667,4.9
B46,+N,22.9,14.7,16.04,5.6
B46,+N,22.9,14.7,16.04,4.9
B46,+N,22.9,14.7,13.66666667,5.6
B46,+N,22.9,14.7,13.66666667,4.9
B46,+N,22.9,19.42,13.66666667,5.6
B46,+N,22.9,19.42,13.66666667,4.9
B46,+N,22.93333333,19.42,16.04,5.6
B46,+N,22.93333333,19.42,16.04,4.9
B52,+N,22.725,14.7,14.05,5.4
B52,+N,22.725,14.7,14.05,5
B52,+N,17.8,7.3,12.83333333,5.4
B52,+N,17.8,7.3,12.83333333,5
B52,+N,22.725,14.7,12.83333333,5.4
B52,+N,22.725,14.7,12.83333333,5
B52,+N,22.725,7.3,14.05,5.4
B52,+N,22.725,7.3,14.05,5
B52,+N,17.8,14.7,12.83333333,5.4
B52,+N,17.8,14.7,12.83333333,5
B52,+N,17.8,7.3,14.05,5.4
B52,+N,17.8,7.3,14.05,5
B52,+N,22.725,7.3,12.83333333,5.4
B52,+N,22.725,7.3,12.83333333,5
B52,+N,17.8,14.7,14.05,5.4
B52,+N,17.8,14.7,14.05,5
B57,+N,23.575,11.3,10.2,4.5
B57,+N,23.575,11.3,10.2,6.4
B57,+N,23.575,13.3,10.26666667,4.5
B57,+N,23.575,13.3,10.26666667,6.4
B57,+N,24.46666667,11.3,10.2,4.5
B57,+N,24.46666667,11.3,10.2,6.4
B57,+N,23.575,11.3,10.26666667,4.5
B57,+N,23.575,11.3,10.26666667,6.4
B57,+N,23.575,13.3,10.2,4.5
B57,+N,23.575,13.3,10.2,6.4
B57,+N,24.46666667,13.3,10.26666667,4.5
B57,+N,24.46666667,13.3,10.26666667,6.4
B57,+N,24.46666667,11.3,10.26666667,4.5
B57,+N,24.46666667,11.3,10.26666667,6.4
B57,+N,24.46666667,13.3,10.2,4.5
B57,+N,24.46666667,13.3,10.2,6.4
B64,+N,19.73333333,8.966666667,11.8,5.5
B64,+N,,8.966666667,11.8,5.5
B68,+N,,18.3,17.25,5.3
B68,+N,22.85,18.3,17.25,5.3
B73,+N,25.1,7.9,9.65,4.2
B73,+N,25.1,7.9,9.65,4
B73,+N,25.1,7.9,10.04,4.2
B73,+N,25.1,7.9,10.04,4
B73,+N,24.25,7.85,9.65,4.2
B73,+N,24.25,7.85,9.65,4
B73,+N,24.25,7.85,10.04,4.2
B73,+N,24.25,7.85,10.04,4
B73,+N,24.25,7.9,9.65,4.2
B73,+N,24.25,7.9,9.65,4
B73,+N,24.25,7.9,10.04,4.2
B73,+N,24.25,7.9,10.04,4
B73,+N,25.1,7.85,9.65,4.2
B73,+N,25.1,7.85,9.65,4
B73,+N,25.1,7.85,10.04,4.2
B73,+N,25.1,7.85,10.04,4
