Genotype,HN Cob Width,HN Cob Weight,HN Cob Length,HN 20 Kernel Weight
B77,18.86666667,8.033333333,9.975,5
B77,18.86666667,10.775,9.975,5
B79,25,6.18,9.866666667,5
B79,25,6.18,9.866666667,5.5
B79,25,6.18,11.63333333,5
B79,25,6.18,11.63333333,5.5
B79,23.4,6.18,11.63333333,5
B79,23.4,6.18,11.63333333,5.5
B79,23.4,6.18,9.866666667,5
B79,23.4,6.18,9.866666667,5.5
B79,25,14,9.866666667,5
B79,25,14,9.866666667,5.5
B79,23.4,14,9.866666667,5
B79,23.4,14,9.866666667,5.5
B79,23.4,14,11.63333333,5
B79,23.4,14,11.63333333,5.5
B79,25,14,11.63333333,5
B79,25,14,11.63333333,5.5
B97,21.875,14.78,10.96666667,6.6
B97,21.875,14.78,10.96666667,6.2
B97,21.875,14.78,12.11428571,6.6
B97,21.875,14.78,12.11428571,6.2
B97,23.44,14.78,10.96666667,6.6
B97,23.44,14.78,10.96666667,6.2
B97,21.875,11.975,10.96666667,6.6
B97,21.875,11.975,10.96666667,6.2
B97,21.875,11.975,12.11428571,6.6
B97,21.875,11.975,12.11428571,6.2
B97,23.44,11.975,10.96666667,6.6
B97,23.44,11.975,10.96666667,6.2
B97,23.44,11.975,12.11428571,6.6
B97,23.44,11.975,12.11428571,6.2
B97,23.44,14.78,12.11428571,6.6
B97,23.44,14.78,12.11428571,6.2
C103,20.425,13.55,15.65,5.6
C103,23.6,13.55,18.63333333,5.6
C103,23.6,19.85,15.65,5.6
C103,20.425,19.85,15.65,5.6
C103,20.425,19.85,18.63333333,5.6
C103,23.6,13.55,15.65,5.6
C103,20.425,13.55,18.63333333,5.6
C103,23.6,19.85,18.63333333,5.6
CH9,23.8,17,11.45,5.5
CH9,23.8,17,11.45,6.2
CH9,25,13.48333333,11.45,5.5
CH9,25,13.48333333,11.45,6.2
CH9,25,17,11.45,5.5
CH9,25,17,11.45,6.2
CH9,23.8,13.48333333,11.45,5.5
CH9,23.8,13.48333333,11.45,6.2
CI3A,25.23333333,10.36666667,7.385714286,3.8
CI3A,,10.36666667,7.385714286,3.8
CI64,24.26,9.38,13.2,5.8
CI64,24.64,11.58,13.2,5.8
CI64,24.64,9.38,13.2,5.8
CI64,24.26,11.58,13.2,5.8
CM105,25.2,13.86,16.43333333,4.6
CM105,25.2,13.86,16.43333333,4.8
CM105,25.8,13.86,16.43333333,4.6
CM105,25.8,13.86,16.43333333,4.8
CM105,25.2,13.86,14.3875,4.6
CM105,25.2,13.86,14.3875,4.8
CM105,25.8,13.86,14.3875,4.6
CM105,25.8,13.86,14.3875,4.8
CM174,26.8,13.82,15.37142857,3.9
CM174,26.8,13.82,13.18333333,3.9
CM174,24.2,13.82,13.18333333,3.9
CM174,24.2,13.82,15.37142857,3.9
CM37,24.375,9.175,11.65,4.2
CM37,20.675,9.175,11.65,4.2
CM37,20.675,10.675,11.65,4.2
CM37,20.675,10.675,8.425,4.2
CM37,20.675,9.175,8.425,4.2
CM37,24.375,9.175,8.425,4.2
CM37,24.375,10.675,8.425,4.2
CM37,24.375,10.675,11.65,4.2
CML103,22.63333333,7.325,13.95,3.5
CML103,22.63333333,7.325,13.95,7.3
CML103,22.63333333,7.325,18.96666667,3.5
CML103,22.63333333,7.325,18.96666667,7.3
CML103,22.63333333,15.1,13.95,3.5
CML103,22.63333333,15.1,13.95,7.3
CML103,22.325,7.325,18.96666667,3.5
CML103,22.325,7.325,18.96666667,7.3
CML103,22.325,7.325,13.95,3.5
CML103,22.325,7.325,13.95,7.3
CML103,22.325,15.1,18.96666667,3.5
CML103,22.325,15.1,18.96666667,7.3
CML103,22.63333333,15.1,18.96666667,3.5
CML103,22.63333333,15.1,18.96666667,7.3
CML103,22.325,15.1,13.95,3.5
CML103,22.325,15.1,13.95,7.3
CML108,,20.175,13.38333333,4.3
CML108,28,20.175,13.38333333,4.3
CML158Q,24.1,11.95,13.01666667,3.8
CML158Q,,11.95,13.71666667,3.8
CML158Q,,11.95,13.01666667,3.8
CML158Q,24.1,11.95,13.71666667,3.8
CML218,,8.966666667,12.5,4
CML218,,8.966666667,12.5,4.9
CML218,20.8,8.966666667,12.5,4
CML218,20.8,8.966666667,12.5,4.9
CML218,,8.966666667,11.81666667,4
CML218,,8.966666667,11.81666667,4.9
CML218,20.8,8.966666667,11.81666667,4
CML218,20.8,8.966666667,11.81666667,4.9
CML220,25.84,13.2,12.13333333,6.9
CML220,25.84,13.2,12.13333333,6.8
CML220,29.3,13.2,12.13333333,6.9
CML220,29.3,13.2,12.13333333,6.8
CML220,25.84,10.08,12.71666667,6.9
CML220,25.84,10.08,12.71666667,6.8
CML220,25.84,13.2,12.71666667,6.9
CML220,25.84,13.2,12.71666667,6.8
CML220,29.3,13.2,12.71666667,6.9
CML220,29.3,13.2,12.71666667,6.8
CML220,29.3,10.08,12.13333333,6.9
CML220,29.3,10.08,12.13333333,6.8
CML220,25.84,10.08,12.13333333,6.9
CML220,25.84,10.08,12.13333333,6.8
CML220,29.3,10.08,12.71666667,6.9
CML220,29.3,10.08,12.71666667,6.8
CML277,,5.1,17.6,5.8
CML277,21.2,5.1,17.6,5.8
CML323,22.26666667,11.56666667,13.66666667,4.8
CML323,22.26666667,11.56666667,13.66666667,3.4
CML323,22.26666667,11.56666667,12.55,4.8
CML323,22.26666667,11.56666667,12.55,3.4
CML323,,11.56666667,13.66666667,4.8
CML323,,11.56666667,13.66666667,3.4
CML323,,11.56666667,12.55,4.8
CML323,,11.56666667,12.55,3.4
CMV3,24.06666667,5.516666667,11.88333333,3.5
CMV3,23.92,6.46,11.88333333,3.5
CMV3,23.92,5.516666667,11.88333333,3.5
CMV3,24.06666667,6.46,11.88333333,3.5
CO255,,8.675,11.78571429,3.9
CO255,,8.675,12.81666667,3.9
CO255,22.9,8.675,12.81666667,3.9
CO255,22.9,8.675,11.78571429,3.9
DE2,29.125,18.8,14.25,5.2
DE2,29.125,18.8,14.25,6.1
DE2,29.125,18.8,10.74285714,5.2
DE2,29.125,18.8,10.74285714,6.1
DE2,29.125,20,10.74285714,5.2
DE2,29.125,20,10.74285714,6.1
DE2,29.775,18.8,14.25,5.2
DE2,29.775,18.8,14.25,6.1
DE2,29.125,20,14.25,5.2
DE2,29.125,20,14.25,6.1
DE2,29.775,20,14.25,5.2
DE2,29.775,20,14.25,6.1
DE2,29.775,18.8,10.74285714,5.2
DE2,29.775,18.8,10.74285714,6.1
DE2,29.775,20,10.74285714,5.2
DE2,29.775,20,10.74285714,6.1
E2558W,,10.68,11.2,5.3
E2558W,17.22,10.68,11.2,5.3
E2558W,,10.68,15.11666667,5.3
E2558W,17.22,10.68,15.11666667,5.3
F44,18.78333333,7.25,10.05,3.6
F44,18.78333333,7.25,11.45,3.6
F44,18.78333333,7.316666667,11.45,3.6
F44,18.75,7.316666667,11.45,3.6
F44,18.78333333,7.316666667,10.05,3.6
F44,18.75,7.316666667,10.05,3.6
F44,18.75,7.25,11.45,3.6
F44,18.75,7.25,10.05,3.6
F7,18.55,8.68,11.4,2.8
F7,18.55,8.68,11.4,3.1
F7,19.8,8.68,11.4,2.8
F7,19.8,8.68,11.4,3.1
F7,19.8,5.325,11.31666667,2.8
F7,19.8,5.325,11.31666667,3.1
F7,18.55,8.68,11.31666667,2.8
F7,18.55,8.68,11.31666667,3.1
F7,19.8,8.68,11.31666667,2.8
F7,19.8,8.68,11.31666667,3.1
F7,19.8,5.325,11.4,2.8
F7,19.8,5.325,11.4,3.1
F7,18.55,5.325,11.4,2.8
F7,18.55,5.325,11.4,3.1
F7,18.55,5.325,11.31666667,2.8
F7,18.55,5.325,11.31666667,3.1
GA209,,6.775,10.91666667,5.2
GA209,21.3,6.775,8.866666667,5.2
GA209,,6.775,8.866666667,5.2
GA209,21.3,6.775,10.91666667,5.2
H84,22.6,10.38,12.71666667,6.2
H84,20.68,10.38,12.71666667,6.2
H84,22.6,16.9,12.35,6.2
H84,20.68,16.9,12.71666667,6.2
H84,20.68,16.9,12.35,6.2
H84,22.6,16.9,12.71666667,6.2
H84,20.68,10.38,12.35,6.2
H84,22.6,10.38,12.35,6.2
H95,21.42,7.24,13.8,3.9
H95,21.42,7.24,12.75,3.9
H95,,7.24,12.75,3.9
H95,,7.24,13.8,3.9
H99,20.15,6.3,13.05,4.9
H99,20.15,6.3,13.05,5.4
